timestamp,age_range,gender,country,referral_source,years_experience,track_applied,weekly_commitment_hours,main_aim,motivation,skill_level,aptitude_test_completed,total_score,graduated
2024-11-27 13:39:22,25-34 years,Male,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Upskill,To learn a new skill,Beginner,Yes,74.33,No
2024-12-02 23:41:04,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn afresh,To learn a new skill so as to supplement my engineering skills,Beginner,Yes,69.67,No
2024-11-28 22:42:13,35-44 years,Female,Kenya,Twitter,6 months - 1 year,Data analysis,more than 14 hours,Portfolio,To change career,Elementary,Yes,59.0,No
2024-12-01 09:30:00,25-34 years,Male,Kenya,WhatsApp,Less than six months,Data analysis,less than 6 hours,Upskill,Learn more about data and be able to solve problems with data,Beginner,Yes,65.0,No
2024-12-02 16:05:36,25-34 years,Female,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Upskill,I'm interested in pivoting to a different career path and/or upskilling to improve my prospects in my current career path.,Beginner,Yes,71.67,Yes
2024-11-27 21:00:27,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,more than 14 hours,Learn afresh,i want to build my career around data and Everything data is the best place to be,Elementary,Yes,59.0,No
2024-12-02 14:49:01,35-44 years,Female,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Learn afresh,"I want to learn about data analytics from professionals and to join a community that will walk this new, exciting journey with me.",Elementary,Yes,59.0,Yes
2024-12-02 13:56:50,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Portfolio,I would like to gain hands on experience in working with data and solve real world problems,Elementary,Yes,60.33,No
2024-11-27 13:47:44,25-34 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,more than 14 hours,Upskill,"I believe I can use my skills in analytics, mathematics, problem-solving, attention to detail and python to be able to deduce meaningful insights from data and Everything Data provides a guided approach for me to become an expert in the field.",Elementary,Yes,60.67,Yes
2024-12-02 15:38:23,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,less than 6 hours,Upskill,I would like to gain a new skill that is Data Analytics.,Beginner,Yes,80.0,Yes
2024-11-27 09:27:35,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,7-14 hours,Portfolio,Everything Data is providing me a rare opportunity to learn alongside other Data enthusiasts. This will help me advance my career portfolio and network.,Elementary,Yes,70.0,Yes
2024-11-28 19:53:43,25-34 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,less than 6 hours,Upskill,"To connect with fellow data professionals, stay up to speed with developments in the data world, gain mentorship and career guidnace and actively participate in sharing insights and inspire other community members and beyond.",Elementary,Yes,78.0,No
2024-11-28 10:13:03,18-24 years,Male,Kenya,Twitter,4-6 years,Data analysis,more than 14 hours,Upskill,"Being a recent Geospatial Engineering Graduate, I'd like to upskill on Data Analysis / Data Science prior to pursuing a Masters in Data Science in the not so long distant future.",Intermediate,Yes,67.33,Yes
2024-12-02 13:08:21,25-34 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,7-14 hours,Upskill,"This is a program which will offer me an opportunity to deepen my understanding of data analytics. Data is a constantly evolving and being part of this program allows me to learn from professionals, gain exposure and refine my analytical skills.",Elementary,Yes,64.67,Yes
2024-12-02 10:40:26,35-44 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,less than 6 hours,Upskill,to be better at data analysis which will complement my underwriting skills in insurance,Elementary,Yes,63.67,No
2024-12-02 21:06:50,25-34 years,Male,Kenya,WhatsApp,Less than six months,Data analysis,7-14 hours,Upskill,My motivation to join the Everything Data mentorship program is driven by a deep passion for learning and growing in the field of data science.,Elementary,No,62.33,No
2024-12-03 20:11:37,25-34 years,Male,Kenya,LinkedIn,Less than six months,Data analysis,7-14 hours,Portfolio,Heavy inspiration from the collaboration and insight of the community on the whatsapp group showed me that this would be the best environment to foster data analytical skills and be part of an amazing community of like minded individuals.,Elementary,Yes,70.67,No
2024-11-28 15:18:09,25-34 years,Male,Kenya,WhatsApp,6 months - 1 year,Data analysis,more than 14 hours,Learn afresh,"I am interested in building my data skills so as to support local grassroot organizations and social enterprises in my community in harnessing the power of data, and conducting data advocacy.",Elementary,Yes,70.67,No
2024-11-29 16:49:09,25-34 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,more than 14 hours,Portfolio,"I’m eager to join the the mentorship program to enhance my data analysis skills, gain real-world insights, and learn from experienced mentors. This opportunity will help me refine my abilities and apply data-driven solutions effectively in my work.",Elementary,Yes,65.67,Yes
2024-12-01 00:11:49,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,7-14 hours,Upskill,I developed an interest in data after graduating but I have never settled on a proper working procedure for learning and branding. I feel confident that now more than ever I have a clear direction of what I want to achieve in this discipline.,Intermediate,Yes,70.67,No
