iter	Passed	Remaining
875	14926	2112
876	14944	2096
877	14962	2079
878	14980	2062
879	14999	2045
880	15008	2027
881	15027	2010
882	15045	1993
883	15055	1975
884	15073	1958
885	15092	1941
886	15110	1925
887	15129	1908
888	15144	1890
889	15151	1872
890	15168	1855
891	15186	1838
892	15204	1821
893	15222	1804
894	15243	1788
895	15262	1771
896	15283	1754
897	15300	1737
898	15319	1721
899	15337	1704
900	15355	1687
901	15374	1670
902	15392	1653
903	15409	1636
904	15428	1619
905	15447	1602
906	15457	1584
907	15475	1568
908	15486	1550
909	15504	1533
910	15522	1516
911	15541	1499
912	15559	1482
913	15578	1465
914	15591	1448
915	15610	1431
916	15619	1413
917	15626	1395
918	15644	1378
919	15662	1361
920	15681	1345
921	15700	1328
922	15719	1311
923	15729	1293
924	15748	1276
925	15767	1260
926	15786	1243
927	15804	1226
928	15822	1209
929	15840	1192
930	15858	1175
931	15868	1157
932	15886	1140
933	15901	1123
934	15919	1106
935	15938	1089
936	15956	1072
937	15973	1055
938	15991	1038
939	16004	1021
940	16022	1004
941	16040	987
942	16058	970
943	16077	953
944	16094	936
945	16113	919
946	16123	902
947	16141	885
948	16159	868
949	16178	851
950	16196	834
951	16214	817
952	16232	800
953	16251	783
954	16269	766
955	16287	749
956	16306	732
957	16324	715
958	16342	698
959	16361	681
960	16380	664
961	16398	647
962	16416	630
963	16434	613
964	16447	596
965	16469	579
966	16489	562
967	16507	545
968	16527	528
969	16546	511
970	16564	494
971	16582	477
972	16601	460
973	16622	443
974	16642	426
975	16662	409
976	16682	392
977	16700	375
978	16719	358
979	16738	341
980	16757	324
981	16776	307
982	16794	290
983	16813	273
984	16831	256
985	16849	239
986	16867	222
987	16884	205
988	16902	187
989	16920	170
990	16938	153
991	16956	136
992	16974	119
993	16992	102
994	17010	85
995	17029	68
996	17047	51
997	17067	34
998	17086	17
999	17104	0
